End Effector,Force Limit X,Force Limit Y,Force Limit Z,Magnitude
FR,88.49048790257585,-71.6147490490615,74.7252526259938,136.17305941563689
FR,97.86798910918534,-159.08794251242077,-203.95503485722645,276.558805661153
FR,-100.5326772141841,-29.67942068103406,207.8763496938036,232.8095014423459
FR,-91.15517600757461,-117.15261414439333,-70.80393778941668,164.46032567256032
FR,88.47276617913282,112.91100536593812,74.31804514478978,161.55338845804945
FR,97.85026738574231,25.43781190257885,-204.3622423384305,228.00369118819907
FR,-100.55039893762714,154.84633373396557,207.46914221259956,277.7250704704177
FR,-91.17289773101764,67.3731402706063,-71.2111452706207,133.87555610098073
FL,88.53348927300954,-113.13203408481641,74.45706198356494,161.8050986163495
FL,97.92345155675632,-26.003069792676182,-204.25518437123048,228.0029437221295
FL,-100.5894845504643,-154.93177697624148,207.59702312653295,277.8823922636016
FL,-91.19952226671752,-67.80281268410126,-71.11522322826247,134.05949889641698
FL,88.51417312614524,71.48881036314668,74.62272568112708,136.0660135354303
FL,97.90413540989202,158.61777465528692,-204.08952067366835,276.4007066122689
FL,-100.6088006973286,29.689067471721607,207.76268682409508,232.74214388774166
FL,-91.21883841358182,116.81803176386182,-70.94955953070033,164.32032444072817
RR,88.7821142994882,-71.88490147888055,74.60144061190489,136.43708374737173
RR,98.13089391003953,-159.45311715007304,-203.5854423021817,276.5899514187623
RR,-100.80940131744735,-29.910417326061513,207.4940741775406,232.61762460612488
RR,-91.46062170689602,-117.47863299725401,-70.69280873654598,164.81428257580504
RR,88.76429618345715,113.22369039929559,74.20755774426463,161.88102412249688
RR,98.11307579400848,25.655474728103098,-203.97932516982195,227.798033621937
RR,-100.8272194334784,155.19817455211464,207.10019130990034,277.7464505688466
RR,-91.47843982292707,67.62995888092213,-71.08669160418624,134.14706114522522
RL,88.8216072930024,-113.45924376132494,74.3203154949157,162.12892157868657
RL,98.18163986025111,-26.167009435008783,-203.8849895625645,227.8013076287029
RL,-100.86123862108583,-155.331367931813,207.19656589876504,277.9050921447629
RL,-91.50120605383712,-68.03913360549683,-71.00873915871516,134.32808882733298
RL,88.80214440665404,71.73643633635423,74.51779962128911,136.3262249527164
RL,98.16217697390275,159.02867066267038,-203.6875054361911,276.4317835412749
RL,-100.8807015074342,29.86431216586618,207.39405002513845,232.55340260594335
RL,-91.52066894018549,117.15654649218234,-70.81125503234175,164.66913210583596
